preferredLabel,altLabels,skillType
perform street interventions in social work,"perform street interventions in social work
do street interventions in social work
perform street-intervention in social work
perform street intervention in social-work
perform street-intervention in social-work
conduct outreach activites
carry out street interventions in social work
street intervention in social-work
street-intervention in social-work
outreach activites",skill/competence
work with soloists,"collaborate with soloists
working with soloists
work with a soloist
work with soloists
communicate with solo artists",skill/competence
sport and exercise medicine,"sports injury treatment
sport and exercise medicine
sports medicine
exercise and sports medicine
sports injury medicine
sports and exercise medicine",knowledge
conduct research on flora,"carry out research on flora
flora research
conduct research on flora
perform research on flora
run research on flora
research on flora",skill/competence
install heat pump,"install heat pump
installation of heat pumps
commission heat pumps
heat pump commissioning
installing heat pump
commissioning of heat pump
commission heat pump
heat pump installation
commissioning heat pump
commissioning heat pumps
installing heat pumps
installation of heat pump
commissioning of heat pumps
install heat pumps
heat pump installing",skill/competence
design biomass installations,"design biomass installation
design biomass system
biomass installations
biomass installation
biomass system",skill/competence
handle equipment while suspended,"using climbing equipment
equipment handling while suspended
handling of equipment while suspended
use climbing equipment while on a rope
use climbing equipment
using climbing equipment while on a rope
handling equipment while suspended
handle equipment while suspended
equipment while suspended
climbing equipment
climbing equipment while on a rope",skill/competence
teach housekeeping skills,"teach housekeeping skills
teach house-keeping skills
teach house keeping skills
teach domestic science skills
teach skills for housekeeping
instruct on housekeeping skills
train on housekeeping skills
teach housekeeping skill",skill/competence
check train engines,"check train engines
check engines on trains meet regulations
check locomotive engines
check engines on locomotives
ensure train engines comply with regulations
ensure compliance of train engines with regulations
perform train engine compliance activities
check engines of trains
ensure train engines meet regulatory requirements
check train engines meet regulations
check engines on trains
ensure train engines comply with applicable regulations",skill/competence
influence public policies,lobbying for public policies,skill/competence
enterprise risk management,ERM,knowledge
manufacture ingredients,"manufacture ingredients
ingredients manufacture
assemble ingredients
manufacture of ingredients
produce ingredients
construct ingredients
manufacture of an ingredient
fabricate ingredients",skill/competence
maintain aquaculture ponds,"aquaculture pond maintaining
maintaining aquaculture ponds
cleaning aquaculture ponds
aquaculture pond cleaning
aquaculture ponds maintaining
pond maintaining in aquaculture
clean aquaculture ponds
maintain aquaculture ponds
aquaculture ponds cleaning
pond cleaning in aquaculture
aquaculture ponds",skill/competence
apply credit risk policy,"administer credit risk policy
implement credit risk policy
employ credit risk policy
applying credit risk policy
apply a credit risk policy
apply credit risk policy
utilise credit risk policy
credit risk policy application
credit risk policy",skill/competence
handle customer requests related to cargo,"respond to customer freight requests
deal with customer requests related to cargo
handle customer requests related to cargo
respond to customer cargo requests
handle requests of customers related to cargo
address requests made by customers in relation to cargo
address customer requests in relation to shipments
handle customer requests related to freight
deal with requests of customers related to cargo
deal with customer requests related to freight
respond to customer requests in relation to cargo
handle requests of customers related to freight
customer requests related to cargo
requests of customers related to cargo
customer requests related to freight
requests of customers related to freight",skill/competence
draft scientific or academic papers and technical documentation,,skill/competence
Incremental development,Incremental development,knowledge
use of special equipment for daily activities,use of special equipment for daily activities,knowledge
sawing techniques,"sawing technologies
sawing methods
sawing technique
sawing procedures
sawing tech
sawing techniques",knowledge
produce guitar components,"build guitar components
make guitar components
producing guitar components
construct guitar components
produce a guitar component
produce guitar components
erect guitar components
guitar components",skill/competence
operate agricultural machinery,"farm machinery operating
operating motorised agricultural machinery
operating agricultural machinery
operate farm machinery
operating farm machinery
motorised agricultural machinery operating
agricultural machinery operating
operating motorised farm machinery
motorised farm machinery operating
operate agricultural machinery
operate motorised agricultural machinery
agricultural machinery
motorised agricultural machinery
farm machinery
motorised farm machinery",skill/competence
control pyrotechnics stock,"controlling pyrotechnics stock
pyrotechnics stock controlling
manage pyrotechnics stock
control pyrotechnics stock
pyrotechnics stock managing
control stock of pyrotechnics
managing pyrotechnics stock
pyrotechnics stock
stock of pyrotechnics",skill/competence
guarantee customer satisfaction,"to guarantee customer satisfaction
ensure customer satisfaction
provide customer satisfaction
customer satisfaction guarantee
guaranteeing customer satisfaction
guarantee customer satisfaction
promise customer satisfaction
assure customer satisfaction
customer satisfaction",skill/competence
manufacture wearing apparel products,"manufacture wearing apparel products
assemble wearing apparel components
manufacture clothing
manufacture clothing products
manufacture garments
assemble garment components
assemble clothing components
manufacture wearing apparel",skill/competence
cure tobacco leaves,"cure a tobacco leaf
temper tobacco leaves
dry tobacco leaves
preserve tobacco leaves
smoke tobacco leaves
cure tobacco leaves
curing tobacco leaves",skill/competence
develop a rehabilitation programme,"design a rehabilitation programme
compile a rehabilitation plan
develop a rehabilitation program
set up rehabilitation plan
develop rehabilitation programmes
develop rehabilitation programs
rehabilitation programme
rehabilitation program
rehabilitation programmes
rehabilitation programs",skill/competence
maintain inventory of cleaning supplies,"track  inventory of cleaning supplies
manage inventory of cleaning supplies
maintain inventory of cleaning supplies
maintaining inventory of cleaning supplies
maintain inventory of supplies for cleaning
maintain inventory of cleaning supply
inventory of cleaning supplies
inventory of supplies for cleaning
inventory of cleaning supply",skill/competence
cold vulcanisation,"using vulcanising solution
tyre repair method
cold vulcanization
use of vulcanising solution
tyre repair technique
vulcanising solution",knowledge
supervise housekeeping operations,"oversee housekeeping operations
supervise operations of housekeeping
supervise housekeepers' duties
coordinate housekeeping duties
supervise housekeeping operations
operations of housekeeping",skill/competence
act as contact person during equipment incident,"play the role of contact person during equipment damage
act as contact person during equipment incident
be the contact person during equipment incident
play the role of a contact person during investigation
engage as a contact person during investigation
take responsibility as a contact person during incident
be the contact person during investigation",skill/competence
manage time in landscaping,"landscaping time managing
manage time in landscaping
landscaping scheduling
schedule landscaping
managing time in landscaping
scheduling landscaping
time managing in landscaping
time in landscaping",skill/competence
advise on customs regulations,advise customers,skill/competence
manage university department,"manage university departments
managing university department
supervise university department
oversee university department
manage university department
coordinate university department
manages university department
university department
university departments",skill/competence
develop terminology databases,"define terminology databases prepare terminology databases
write terminology databases
compile terminology databases
developing terminology databases
develop terminology databases
developing terminology database
draw up terminology databases
populate terminology databases
develop terminology database
terminology databases
terminology database",skill/competence
assess nutritional characteristics of food,"judge nutritional characteristics of food
determine nutritional characteristics of food
assess the nutritional characteristics of food
check nutritional characteristics of food
assess nutritional characteristics of food
appraise nutritional characteristics of food
nutritional characteristics of food",skill/competence
repair electric bicycles,"repair electric bicycle
repair electric bicycles
repair electric bikes
fix electric bikes
repairing electric bicycles
fix electric bicycles
repair bicycles",skill/competence
maintain sorting equipment,"maintain sorting equipment
maintaining sorting equipment
sorting equipment maintaining
maintaining of sorting equipment
sorting equipment repairing
repair sorting equipment
repairing sorting equipment
sorting equipment",skill/competence
explain features in accommodation venue,"explain accommodation venue features
explain accommodation features at venue
explain features in guest room
brief guests on room facilities
explain features in accommodation venue",skill/competence
types of barley,"type of barley
a type of barley
barley types
types of barley
kinds of barley
strains of barley
varieties of barley
categories of barley",knowledge
KDevelop,"KDevelop 4.7.0
KDevelop 4.6.0
KDevelop 4.0.0
KDevelop
KDevelop 5.0.0",knowledge
purchase vehicle parts,"oversee parts purchasing
carry out part purchasing
carry out parts purchases
carry out parts purchasing
carrying out parts purchasing
make parts purchasing
undertake parts purchasing
complete parts purchasing
parts purchasing
part purchasing
parts purchases",skill/competence
inspect offshore constructions,"inspect offshore constructions
evaluate offshore constructions
inspect offshore construction
inspeting offshore constructions
examine offshore constructions
check offshore constructions
assess offshore constructions
offshore constructions",skill/competence
transport patient to medical facility,"transport patient to medical facility
assist in patient transportation
transfer patients to medical facilities
transport patients to medical facilities
transfer patient to medical facility
transport a patient to a medical facility",skill/competence
adjust envelope cutting settings,"tweak envelope cutting settings
adjusting envelope cutting settings
change envelope cutting settings
adjust envelope cutting setting
adapt envelope cutting settings
modify envelope cutting settings
adjust envelope cutting settings",skill/competence
prepare oils,"arrange oils
assemble oil
prepare oil
prepare, select and mix oil
assemble oils
prepare oils
arrange oil",skill/competence
purchase supplies,"pay for  supplies
acquire  supplies
gain  supplies
purchase of supplies
supplies purchasing
buy  supplies
purchase supplies
purchasing supplies",skill/competence
pursue excellence in the creation of food products,"look for excellence in the creation of food products
pursuing excellence in the creation of food products
aim for excellence in the creation of food products
pursue excellence in the creation of food products
seek excellence in the creation of food products
pursue excellence in the creation of a food product",skill/competence
maintain personal hygiene standards when cleaning,"maintain personal hygiene standards when cleaning
maintaining personal hygiene standards when cleaning
keep up personal hygiene standards when cleaning
maintain personal hygiene standard when cleaning
maintain personal hygiene when cleaning
sustain  personal hygiene standards when cleaning
personal hygiene standards when cleaning
personal hygiene standard when cleaning
personal hygiene when cleaning",skill/competence
liaise with typists,"cooperate with typists
liaising with typists
liaise with typists
work together with typists
collaborate with typists
liaise with typist",skill/competence
assess railway operations,"appraise railway operations
assess railway operations
evaluate railway operations
conduct review of railway performance
conduct analysis of railway operations
analyse railway operations
conduct evaluation of railway performance
conduct study on railway operations and performance
review railway operations",skill/competence
practise extreme sports,"participate in extreme sports
practice  extreme sports
play extreme sports
practise extreme sport
practising extreme sports
engage in extreme sports",skill/competence
adopt ways to foster biodiversity and animal welfare,"implement environmental choices in your own eating habit
adopt a sustainable eating habit
promoting organic and biological food consumption
take animal welfare into account when buying food products
concretely support biodiversity and animal welfare
take sustainability issues into account in consumption choices
environmental choices in your own eating habit",skill/competence
provide chaperone for children on set,"offer chaperone for children on set
organise chaperone for children on set
arrange chaperone for children on set
provide chaperone for child on set
providing chaperone for children on set
provide chaperone for children on set
provide chaperone for children on sets
chaperone for children on set
chaperone for child on set
chaperone for children on sets",skill/competence
organise labour,"organize labor
labour organising
workers organising
worker organising
organise workers
organising workers
organising labour",skill/competence
use glass engraving tools,"using glass engraving tools
glass engraving with tools
glass engraving tools using
use glass engraving tools
work with glass engraving tools
working with glass engraving tools
use engraving tools on glass
glass engraving tools
engraving tools on glass",skill/competence
operate wrecking ball,"demolish structure with wrecking ball
operating wrecking ball
wrecking ball control
wrecking ball operation
operation of wrecking ball
control wrecking ball
operate wrecking ball
demolition with wrecking ball
wrecking ball",skill/competence
evaluate garment quality,"evaluate quality of garments
evaluate wearing apparel quality
estimate clothing quality
inspect clothing quality
estimate garment quality
estimate wearing apparel quality
evaluate garment quality
inspect garment quality
evaluate quality of clothing
evaluate quality of wearing apparel
evaluate clothing quality
garment quality
quality of garments
wearing apparel quality
quality of clothing
quality of wearing apparel
clothing quality",skill/competence
apply for refunds,"apply for a refund
implement refunds
make refunds
refund applications
undertake refunds
apply for refunds
administer refunds
applying  for a refund",skill/competence
perform a feasibility study for building management systems,"carry out bms feasibility study
bms feasibility study",skill/competence
Absorb (learning management systems),Absorb,knowledge
peform small vessel administrative duties,"fulfil small vessel administrative duties
perform administrative duties on a small vessel
fulfilling administrative duties on a small vessel
perform small vessel administrative duties
performing administrative duties on a small vessel
performing small vessel administrative duties
fulfil administrative duties on a small vessel
fulfilling small vessel administrative duties
administrative duties on a small vessel",skill/competence
cosmetics ingredients,"cosmetics additives
cosmetics elements
a cosmetics ingredient
cosmetics ingredient
cosmetics ingredients
cosmetics raw materials
ingredients of cosmetics",knowledge
human dynamics as part of hospitality security,"human dynamics as part of security in hospitality
hospitality security human dynamics
human behaviour as part of a security programme
human dynamics as part of hospitality security
behavioural insight for customers' security",knowledge
advise on construction materials,"giving of advice on construction materials
advise on construction materials
give advice on construction materials
advising on construction materials
advise about construction materials
provide advice on construction materials
giving advice on construction materials
advise regarding construction materials
advice on construction materials",skill/competence
maintain rotating equipment,"overhaul revolving equipment
mend rotating equipment
reconstruct rotating equipment
reconstruct revolving equipment
replace revolving equipment
maintain rotating equipment
mend revolving equipment
replace rotating equipment
overhaul rotating equipment
maintain revolving equipment
rotating equipment
revolving equipment",skill/competence
manage volunteers in second-hand shop,"manage volunteers in second-hand shops
oversee volunteers in second-hand shop
supervise volunteers in second-hand shop
regulate volunteers in second-hand shop
manage a volunteer in a second-hand shop
manage volunteers in second-hand shop
managing volunteers in second-hand shops
maintain volunteers in second-hand shop
volunteers in second-hand shop
volunteers in second-hand shops
volunteer in a second-hand shop",skill/competence
pump products for storage,"pump products for storage
pump items for storage
pump merchandise for storage
pumping products for storage
pump product for storage
pump goods for storage
pump artefacts for storage",skill/competence
medico-biological and medical sciences related to dentistry,"dentistry medico-biological and medical sciences
medico-biological and medical sciences related to dentistry
medico-biological and medical principles relevant for dentistry
medico-biological and medical aspects of dentistry
denistry-related medico-biological and medical sciences",knowledge
attend to detail in casting processes,"attending to detail in casting processes
attend to casting process details
attend to detail in casting processes
attend to casting processes detail
attention to detail in casting processes",skill/competence
biomedical science,"principles of natural sciences applied to medicine
biomedical science
biomedical sciences",knowledge
keep up to date on product knowledge,keep up to date on product knowledge,skill/competence
write Hungarian,"writing Hungarian
write Hungarian
correspond in written Hungarian
show competency in written Hungarian",skill/competence
monitor drilling fluid,"drilling mud monitoring
drilling fluids monitoring
monitor drilling mud
monitoring of mud
mud monitoring
monitoring drilling fluids
monitor drilling fluid
drilling fluid monitoring
monitoring drilling fluid
monitor drilling fluids
monitoring mud
monitoring of drilling mud
monitoring of drilling fluid
monitor mud
monitoring drilling mud
drilling fluid
drilling mud
drilling fluids",skill/competence
develop efficiency plans for maritime shipping,"implement maritime efficiency plans
oversee planning for maritime efficiency
develop maritime shipping efficiency plans
oversee maritime shipping efficiency plans
develop efficiency plans for maritime shipping
produce and implement plans to ensure maritime efficiency
develop efficiency plans for shipping
ensure maritime efficiency through planning
produce efficiency plans for maritime shipping
produce maritime shipping efficiency plans
efficiency plans for maritime shipping
planning for maritime efficiency
efficiency plans for shipping
maritime efficiency through planning",skill/competence
tend packaging machines,"tend packaging machines
mind packaging machines
tend a packaging machines
look after packaging machines
watch packaging machines
take care of packaging machines
tend packaging machinery",skill/competence
advise on clay products handling,"advising on clay product handling
instructing on clay product handling
instruct on clay product handling
instruct on clay products handling
advise on clay product handling
instructing on handling of clay products
advising on handling of clay products
advise on clay products handling",skill/competence
maintain drilling equipment,"mend drilling equipment
repairing drilling equipment
repair drilling equipment
maintain drilling equipment
drilling equipment maintenance
maintenance of drilling equipment
mending drilling equipment
maintaining drilling equipment
maintaining of drilling equipment
drilling equipment",skill/competence
control tree diseases,"diseased trees removing
diseased tree removing
controlling tree diseases
removing diseased trees
control tree diseases
tree disease controlling
remove diseased trees
tree diseases controlling
tree diseases",skill/competence
analyse the artistic concept based on stage actions,"analyze  the artistic concept based on stage actions
examine a performance's artistic concept according to stage movements
analyse the artistic concept of a performance during rehearsals
analyse artistic concept stage action
analyse  the artistic concept based on actions on stage",skill/competence
migrate existing data,migrate existing data,skill/competence
manage supplies,"plan supplies
monitor and control supplies
manage supply chain
supplies management
supply chain management
supplies planning
control and monitor supplies
manage supplies
supplies managing
and control supplies
supply chain
and monitor supplies",skill/competence
human factors regarding safety,"human factors regarding health and safety
human health and safety considerations
human health and safety implications
human safety implications
human safety factors
human factors regarding safety
human safety considerations",knowledge
perform roof maintenance,"performing roof maintenance
perform roof maintenance
roof repairs
roof maintenance performance
performance of roof maintenance
maintaining roofs
roof repair
repair roof
mend roofs
maintain roofs
mend roof
repair roofs
roof maintenance",skill/competence
types of digesters,"type of digester
varieties of digesters
sorts of digesters
types of digesters
kinds of digesters
categories of digesters",knowledge
define database physical structure,"define database physical structure
define database physical storage structure",skill/competence
lay stones,"paving stone laying
laying paving stones
stone laying
building stone walls
lay stone paviours
build stone walls
laying stones
lay paving stones
laying of paving stones
lay stones
building of stone walls
laying of stones
stone walls",skill/competence
assemble circus rigging equipment,"install circus rigging equipment
assemble circus rigging equipment
set up circus rigging equipment
fit up circus rigging equipment
assembling circus rigging equipment
assemble rigging equipment for circus",skill/competence
manage documentation of prior learning assessments,"handle documentation of prior learning assessments
documentation of prior learning assessments",skill/competence
perform oral health diagnosis,"fulfill oral health diagnosis
record patient's oral and dental state
accomplish oral health diagnosis
execute oral health diagnosis
conduct oral health diagnosis
carry out oral health diagnosis
record oral health diagnosis
diagnose a patient's oral health
perform oral health diagnosis
oral health diagnosis",skill/competence
geomatics,"geomatics
the study of Earth’s surface",knowledge
contamination exposure regulations,"regulations about contaminated materials
contamination exposure regulations
regulations concerning contamination exposure
regulations about contamination exposure
regulations regarding contamination exposure
regulations concerning contaminated materials
regulations regarding contaminated materials",knowledge
Maltego,Maltego,knowledge
search historical sources in archives,"search archives for historical sources
explore historical sources in archives
find historical sources in archives
search historical sources in archives
query historical sources in archives
historical source search in archives",skill/competence
supervise performers' fights,"arrange direct performers' fights
manage direct performers' fights
direct performers' fights
supervise performers' fight
supervising performers' fights
supervise performers' fights
supervise performer's fights
performers' fights
performers' fight
performer's fights",skill/competence
develop script bible,"develop script bible
write script bible
set script bible
draft script bible
establish script bible
developing script bible
develop script’s bible
script bible
script’s bible",skill/competence
operate radio equipment,"facilitate use of radio devices
set up and maintain radio equipment
oversee the use of radio equipment
operate radio devices
set up and maintain radio devices
use radio equipment
use radio devices
utilise radio devices
operate radio equipment
oversee the use of radio devices
facilitate use of radio equipment
utilise radio equipment
radio equipment
use of radio equipment
radio devices
use of radio devices",skill/competence
remove contaminated materials,"remove contaminated materials
contaminated materials removing
removing contaminated materials
treat contaminated materials
dispose of contaminated materials
contaminated materials treating
contaminated materials disposing",skill/competence
inspect paint quality,"inspect quality of paint
check paint quality
inspect paint quality
review paint quality
inspect paint condition
paint quality",skill/competence
styles of boxes,"kinds of boxes
sorts of boxes
types of boxes
styles of boxes
shapes of boxes
style of box
box styles",knowledge
collect property financial information,"collect property financial information
audit properties
collect information on property finance
collect financial information on properties",skill/competence
trace financial transactions,"trace financial transaction
oversee  financial transactions
tracing financial transactions
track financial transactions
trace financial transactions
financial transactions",skill/competence
contribute to quality physiotherapy services,"contribute to quality development in physiotherapy services
contribute to quality development in physiotherapy
undertake physiotherapy service quality activities
make contributions to the development of quality physiotherapy services
contribute to quality physiotherapy services
contribute to physiotherapy service quality development
contribute to safe physiotherapy services
participate in physiotherapy quality development activities
support quality physiotherapy service development
participate in activities for the development of quality physiotherapy services
contribute to cost-effective physiotherapy services
quality physiotherapy service development",skill/competence
install radtors,"build convector heaters
introduce radiators
institute convector heaters
inaugurate convector heaters
institute radiators
build radiators
inaugurate radiators
introduce convector heaters
install radtors
convector heaters",skill/competence
advise on care products for pets,"help customers on usage of care products for pets
advising customers on usage of care products for pets
advise a customer on usage of care products for pets
recommend customers on usage of care products for pets
advise customers on usage of care products for pets
advise customers on the usage of care products for pets
suggest customers on usage of care products for pets
commend customers on usage of care products for pets
instruct customers on usage of care products for pets",skill/competence
operate remote sensing equipment,"control remote sensing equipment
run remote sensing equipment
employ remote sensing equipment
use remote sensing equipment
operate remote sensing equipment
remote sensing equipment operation
operation of remote sensing equipment
remote sensing equipment",skill/competence
calculate stairs rise and run,"calculate staircase dimensions
calculating stair rise and run
staircase rise and run assessment
calculate staircase rise and run measurements
staircase rise and run calculation
stairs rise and run calculation
calculate staircase rise and run
stair rise and run assessment
assessment of stair rise and run
calculation  of stair rise and run
calculate stair rise and run measurements
calculate stairs rise and run
calculations for stair rise and run",skill/competence
first aid for animals,"basic 1st aid for animals
basic animal emergency treatment
aims of animal first aid
basic knowledge of first aid provision to animals
basic animal first aid
principles of first aid for animals
first aid for animals
animal first aid principles
characteristics of animal emergency treatment
basic emergency treatment for animals",knowledge
empathise with outdoor groups,"empathise with groups
understand participants of outdoor activities
empathize  with outdoor groups
empathise with participants of outdoor sports",skill/competence
provide context to news stories,"contextualize news stories
providing context to news stories
provide context to news stories
offer context to news stories
provide context to news story
situate news stories
context to news stories
context to news story",skill/competence
circuit diagrams,"electrical circuit diagrams
electronic schematics
circuit diagrams
elementary diagrams
circuit blueprints
diagrams of circuits
electronics schematics
circuit schematics
electrical diagrams",knowledge
draw up artistic production,"register artistic production
draw up artistic production
draw up artistic productions
record artistic production
drawing up artistic production
write down artistic production
document artistic production",skill/competence
install passenger service units,"adjust passenger service units for use
place PSUs
install passenger service units
fix passenger service units
put into operation PSUs
prepare passenger service units for use
mount passenger service units
attach passenger service units
install PSUs
install aircraft components situated above passenger seats
passenger service units for use",skill/competence
understand written Korean,"understanding written Korean
read Korean
interpret written Korean
understand Korean writing
comprehend written Korean
understand written Korean
make sense of written Korean
sense of written korean",skill/competence
keep records of bridge investigation findings,"keep written records of bridge investigation findings
maintain records of bridge investigations
ensure written records of the findings of bridge investigations are maintained
ensure findings of bridge investigations are recorded in writing
maintain records of the findings of bridge investigations
maintain records of bridge investigation findings
keep records of bridge investigation findings
record the findings of bridge investigations in writing
keep records of the findings of bridge investigations
produce written records of bridge investigations
keep records of bridge investigations
records of bridge investigations
written records of the findings of bridge investigations are maintained
findings of bridge investigations are recorded in writing
records of the findings of bridge investigations
records of bridge investigation findings",skill/competence
sand blasting machine parts,"sand blasting machine pieces
sand blasting machine components
sand blasting machine units
sand blasting machine parts
blasting abrasive machine components
blasting abrasive machine units
sand blasting machine elements
blasting abrasive machine elements
blasting abrasive machine pieces",knowledge
create model,"design model
build model
make model
construct model
create models
create model
creating model",skill/competence
follow procedures to control substances hazardous to health,"comply with guidelines for use of hazardous substances
follow control of health procedures for hazardous substances
follow health procedures for the  control of hazardous substances
follow control of substances hazardous to health procedures
ensure safe use of substances hazardous to health
safe use of substances hazardous to health",skill/competence
assess visual impact of displays,"assessing the visual impact of displays
test visual impact of displays
assess the visual impact of displays
assess the visual impact of a display
check visual impact of displays
judge visual impact of displays
assess visual impact of displays
appraise visual impact of displays
visual impact of displays
visual impact of a display",skill/competence
select glassware for serving,"determine glassware for use and inspect for cleanliness
select glassware for serving
select glasswares for serving
select glassware",skill/competence
cardiovascular system,"anatomy and physiology of the heart and vascular system
cardiovascular anatomy and physiology
cardiovascular systems
cardiovascular system",knowledge
biosecurity related to animals,"biosecurity related to an animal
awareness of hygiene and security measures related to animals
biosecurity measures when working with animals
bio-security related to animals
biosecurity related to animals",knowledge
check information on prescriptions,"check prescription's information
verify information on prescription
verify information on prescriptions
ensure accuracy of prescriptions
check information on prescriptions
check prescription information
accuracy of prescriptions",skill/competence
assume responsibility for maintaining a safe ship environment,"assume accountability for maintaining a safe vessel environment
assume responsibility for maintaining a safe vessel environment
assume accountability for maintaining a safe ship environment
maintain safety of vessel environment
ensure a safe on board environment
assume responsibility for maintaining a safe environment on vessels
assume responsibility for maintaining a safe environment on ships
maintain a safety of ship environment
ensure the safety of crew and passengers on board vessel
ensure the safety of crew and passengers on board ship
assume responsibility for maintaining a safe ship environment
ensure a safe environment on board
safety of vessel environment
safe on board environment
safety of ship environment
safety of crew and passengers on board vessel
safety of crew and passengers on board ship
safe environment on board",skill/competence
follow hygienic practices in fishery operations,"employing hygienic practices in fishery operations
follow hygienic practices in fishery operations
follow hygienic operational practices in fisheries
employing hygienic operational practices in fisheries
employ hygienic practices in fishery operations
following hygienic practices in fishery operations
following hygienic operational practices in fisheries
employ hygienic operational practices in fisheries",skill/competence
supervise work on design planning,"supervising the work on design planning
develop work on design planning
produce work on design planning
supervising work on design planning
supervise the work on design planning
model work on design planning
supervise work on design planning
arrange work on design planning
work on design planning",skill/competence
measure trees,"measure trees
measure tree height
measuring trees
gauge tree measurement
measure the trees",skill/competence
bend staves,"bending staves
shape staves
form staves
bend staves
curve staves
bow staves
bend stave",skill/competence
select music for performance,"determine music pieces
select which music to perform
select performance music
choose music scores
select music for performance",skill/competence
geological mapping,"geological map
geologic mapping
geological mapping",knowledge
tend electron beam welding machine,"guard electron beam welding machine
oversee electron beam welding machine
watch electron beam heating and bonding machine units
oversee electron beam heating and bonding machine units
tend electron beam welding machine
monitor electron beam heating and bonding machine units
monitor electron beam welding machine
guard electron beam heating and bonding machine units
watch electron beam welding machine
electron beam welding machine
electron beam heating and bonding machine units",skill/competence
ensure infrastructure accessibility,"ensure facilities are accessible to people with disabilities
consult on infrastructure accessibility
provide accessible facilities
infrastructure accessibility
facilities are accessible to people with disabilities",skill/competence
inspect table settings,"check table layout
inspect table setup
ensure correct table layout
inspect table settings
inspect settings at table
correct table layout",skill/competence
drive automatic car,"driving automatic car
use automatic car
pilot automatic car
driving automatic cars
drive automatic cars
operate automatic car
drive automatic car
automatic car",skill/competence
prepare intravenous packs,"make IV packs ready
prepare IV packs
set up IV packs
prepare IV pack
prepare intravenous packs
prearrange IV packs
prepare intravenous pack
prearrange intervenous packs
intravenous packs
iv packs ready
iv packs
iv pack
intravenous pack",skill/competence
configure electronic equipment,"configuring electronic equipment
electronic equipment setting
configure electronic equipment
set up electronic equipment
setting up electronic equipment
electronic equipment configuring",skill/competence
Erlang,Erlang,knowledge
operate specialised equipment in emergency,"operate specialized equipment in emergencies
operate specialised equipment in emergencies
operate specialized  equipment in emergency
operate specialized equipment in emergency environment
use specialised equipment in emergency
operate specialized equipment in emergency
use specialised equipment in emergency situations
specialised equipment in emergency
specialized equipment in emergencies
specialised equipment in emergencies
specialized equipment in emergency
specialized equipment in emergency environment
specialised equipment in emergency situations",skill/competence
plan retail space,"plan retail space
lay out retail space
set up retail space
plan a retail space
organise retail space
planning retail space
plan retail spaces
arrange retail space
retail space
retail spaces",skill/competence
